"Source","Country/Region","Commodity","Element","Season","Value","Element Unit"
"FAO-AMIS","Russian Federation","TOTAL CEREALS","Production","2019/20","117.49","Million tonnes"
"FAO-AMIS","Russian Federation","TOTAL CEREALS","Production","2020/21","126.36","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2016/17","0.27","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2017/18","0.28","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2018/19","0.84","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2019/20","0.47","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2020/21","0.78","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2016/17","10.62","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2017/18","19.58","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2018/19","15.56","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2019/20","13.87","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2020/21","18.88","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2016/17","25.88","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2017/18","26.77","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2018/19","26.64","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2019/20","23.21","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2020/21","24.43","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2016/17","34.91","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2017/18","35.77","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2018/19","33.98","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2019/20","33.91","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2020/21","36.19","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2016/17","65.53","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2017/18","60.83","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2018/19","69.29","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2019/20","74.73","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2020/21","64.47","Million tonnes"
"FAO-AMIS","United Kingdom","TOTAL CEREALS","Production","2019/20","0.00","Million tonnes"
"FAO-AMIS","United Kingdom","TOTAL CEREALS","Production","2020/21","18.94","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2016/17","472.96","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2017/18","437.90","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2018/19","436.71","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2019/20","418.25","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2020/21","431.87","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2016/17","33.31","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2017/18","32.89","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2018/19","33.51","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2019/20","33.05","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2020/21","32.39","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2016/17","2,661.25","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2017/18","2,693.60","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2018/19","2,647.77","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2019/20","2,707.87","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2020/21","2,744.34","Million tonnes"
